X=0, Y=0, distance between=0.0
X=3, Y=26, distance between=0.000827205184831
X=3, Y=27, distance between=0.000356684804468
X=3, Y=28, distance between=0.000872739415189
X=3, Y=29, distance between=0.000136602691073
X=3, Y=30, distance between=0.000121424614287
X=3, Y=31, distance between=0.000918273645546
X=3, Y=32, distance between=0.0006450682634
X=3, Y=33, distance between=0.000736136724116
Best distance for picture 4 was 7.58903839293e-06 at Y = 5
X=4, Y=0, distance between=0.00147227344823
X=4, Y=1, distance between=0.0006450682634
X=4, Y=2, distance between=9.10684607153e-05
X=4, Y=3, distance between=7.58903839293e-06
X=4, Y=4, distance between=0.0
X=4, Y=5, distance between=0.000812027108045
X=4, Y=6, distance between=0.000508465572327
X=4, Y=7, distance between=0.000341506727683
X=4, Y=8, distance between=0.000424986150005
X=4, Y=9, distance between=8.34794223225e-05
X=4, Y=10, distance between=3.03561535717e-05
X=4, Y=11, distance between=0.00221599921074
X=4, Y=12, distance between=0.000523643649113
X=4, Y=13, distance between=0.000569177879471
X=4, Y=14, distance between=7.58903839293e-06
X=4, Y=15, distance between=0.000341506727683
X=4, Y=16, distance between=0.000303561535718
X=4, Y=17, distance between=8.34794223225e-05
X=4, Y=18, distance between=0.000584355956257
X=4, Y=19, distance between=0.00020490403661
X=4, Y=20, distance between=6.83013455366e-05
X=4, Y=21, distance between=0.000447753265184
X=4, Y=22, distance between=0.000113835575894
X=4, Y=23, distance between=0.000151780767859
X=4, Y=24, distance between=0.000546410764292
X=4, Y=25, distance between=0.000584355956257
X=4, Y=26, distance between=0.000819616146438
X=4, Y=27, distance between=0.000364273842861
X=4, Y=28, distance between=0.000865150376796
X=4, Y=29, distance between=0.000144191729466
X=4, Y=30, distance between=0.00012901365268
X=4, Y=31, distance between=0.000910684607153
X=4, Y=32, distance between=0.000652657301793
X=4, Y=33, distance between=0.000743725762509
Best distance for picture 5 was 7.58903839293e-06 at Y = 4
X=5, Y=0, distance between=0.000660246340186
X=5, Y=1, distance between=0.000166958844645
X=5, Y=2, distance between=0.00072095864733
X=5, Y=3, distance between=0.000804438069652
X=5, Y=4, distance between=0.000812027108045
X=5, Y=5, distance between=0.0
X=5, Y=6, distance between=0.000303561535718
